Nombre;Apellido;Empresa;Correo
Laura;Gómez;Distribuidora Sur;laura.gomez@ejemplo.com
Carlos;Pérez;Imprenta Central;carlos.perez@ejemplo.com
Ana María;Restrepo;Café Altamira;ana.restrepo@ejemplo.com
Jorge;Salas;Hotel Mirador;jorge.salas@ejemplo.com
Lucía;Fernández;Consultores Nexo;lucia.fernandez@ejemplo.com
Pedro;Martínez;Agencia Faro;pedro.martinez@ejemplo.com
Carolina;Vargas;Clínica San Rafael;carolina.vargas@ejemplo.com
Felipe;Torres;Constructora Andina;felipe.torres@ejemplo.com
Natalia;Ruiz;Librería Páginas;natalia.ruiz@ejemplo.com
Andrés;Castillo;Seguros Horizonte;andres.castillo@ejemplo.com
Laura;Gómez;Distribuidora Sur;laura.gomez@ejemplo.com
Manuela;Ortiz;Viveros La Pradera;manuela.ortiz@ejemplo.com
